Name, era-adjusted batting average, era-adjusted bowling average, role in team, debut year, final year, batting SR modifier, bowling ER modifier, number of games captained.

['The Duckworth-Prof Method','Adelaide Oval']
['MG Johnson', 20.44, 26.15, 'Fast', 2007, 2015, 1.1679864253393666, 1.0583862318128925, 0, ]
['MD Marshall', 18.61, 20.68, 'Fast', 1978, 1991, 1, 0.9953493074512182, 0, ]
['Z Khan', 10.99, 30.29, 'Fast', 2000, 2014, 1.0340193196136078, 1.039025564977122, 0, ]

['Garrus','Sydney Cricket Ground']
['G Kirsten', 45.27, 68.05, 'OpenBat', 1993, 2004, 0.8686170529702675, 0.8626363056486478, 1, ]
['CG Greenidge', 44.99, 49.15, 'OpenBat', 1974, 1991, 1, 0.8, 1, ]
['BC Lara', 52.89, 100, 'Bat', 1990, 2006, 1.2102465448286337, 0.9893992932862191, 47, ]
['GS Chappell', 53.85, 44.82, 'PartMed', 1970, 1984, 1, 0.8351487158442511, 48, ]
['LRPL Taylor', 42.73, 100, 'Bat', 2007, 2020, 1.2001326479854086, 0.9584664536741215, 14, ]
['BB McCullum', 35.66, 100, 'WK', 2004, 2016, 1.2920212233456803, 0.9547920433996383, 31, ]
['N Kapil Dev', 30.34, 28.96, 'Fast', 1978, 1994, 1, 1.015714218051879, 34, ]
['JO Holder', 31.01, 27.69, 'Fast', 2014, 2019, 1.1944619257394589, 0.8273372425050919, 32, ]
['DL Underwood', 11.43, 25.54, 'Spin', 1966, 1982, 1, 0.8424480834324398, 0, ]
['TA Boult', 14.41, 26.21, 'Fast', 2011, 2020, 1.137391304347826, 0.9608452940181393, 0, ]
['CA Walsh', 7.55, 24.44, 'Fast', 1984, 2001, 0.896551724137931, 0.9255452082294352, 22, ]

['Gerry','Headingley']
['G Boycott', 47.13, 56.39, 'OpenBat', 1964, 1982, 1, 0.9790185893931109, 4, ]
['RB Simpson', 45.02, 46.52, 'OpenPartSpin', 1957, 1978, 1, 1.094883187529301, 39, ]
['RT Ponting', 48.95, 68.23, 'Bat', 1995, 2012, 1.174435958212624, 0.9219360657380499, 77, ]
['ED Weekes', 60.91, 73.52, 'Bat', 1948, 1958, 1, 1.2, 0, ]
['GS Sobers', 57.16, 33.67, 'Fast', 1954, 1974, 1, 0.9375727075972223, 39, ]
['KP Pietersen', 43.64, 73.43, 'Bat', 2005, 2014, 1.2344021124104112, 1.2, 3, ]
['BA Stokes', 34.62, 31.87, 'Fast', 2013, 2020, 1.174800868935554, 1.0708354849854924, 0, ]
['BJ Watling', 35.69, 100, 'WK', 2009, 2020, 0.8470533750144726, 1.2, 0, ]
['RR Lindwall', 21.98, 23.93, 'Fast', 1946, 1960, 1, 1.0258363858363857, 1, ]
['DW Steyn', 12.58, 21.24, 'Fast', 2004, 2019, 0.8856637168141593, 1.0347922405814087, 0, ]
['LR Gibbs', 6.76, 28.19, 'Spin', 1958, 1976, 1, 0.8357493836553616, 0, ]

['BobPaisley3','Sydney Cricket Ground']
['DA Warner', 46.38, 100, 'OpenBat', 2011, 2020, 1.4571055013577392, 1.2, 0, ]
['MJ Slater', 43.46, 100, 'OpenBat', 1993, 2001, 1.0659175278418782, 0.8602150537634409, 0, ]
['R Dravid', 49.38, 100, 'Bat', 1996, 2012, 0.8502143451276474, 0.8, 25, ]
['Mohammad Yousuf', 49.36, 100, 'Bat', 1998, 2010, 1.0478708600055664, 0.9803921568627451, 9, ]
['SR Waugh', 51.37, 41.52, 'PartMed', 1985, 2004, 0.9729753795467699, 0.9630190437365326, 57, ]
['MS Dhoni', 35.15, 100, 'WK', 2005, 2014, 1.182203903503455, 1.2, 60, ]
['CL Cairns', 34.08, 29.88, 'Fast', 1989, 2004, 1.1418744625967325, 1.191210686330625, 0, ]
['GP Swann', 20.39, 27.65, 'Spin', 2008, 2013, 1.5298715801228364, 0.9453467054712671, 0, ]
['B Lee', 19.02, 29.09, 'Fast', 1999, 2008, 1.0595107703541438, 1.1332244469985684, 0, ]
['M Ntini', 9.29, 27.21, 'Fast', 1998, 2009, 0.9715079916608756, 1.0580367310599004, 0, ]
['M Muralitharan', 11.39, 22.18, 'Spin', 1992, 2010, 1.4057971014492754, 0.8367890131781228, 0, ]

['Welsh Red','Sabina Park']
['HH Gibbs', 40.61, 100, 'OpenBat', 1996, 2008, 1.0052159739201303, 1.2, 0, ]
['WM Lawry', 45.54, 100, 'OpenBat', 1961, 1971, 1, 1.0804321728691475, 25, ]
['RG Pollock', 58.89, 62.75, 'Bat', 1963, 1970, 1, 1.2, 50, ]
['JE Root', 45.86, 56.45, 'PartSpin', 2012, 2020, 1.0909482449213983, 1.0255284909662787, 39, ]
['S Chanderpaul', 48.49, 72.99, 'Bat', 1994, 2015, 0.8663624749041796, 0.9950416948388551, 14, ]
['AW Greig', 39.97, 31.98, 'Spin', 1972, 1977, 1, 1.111854723525811, 14, ]
['AC Gilchrist', 44.94, 100, 'WK', 1999, 2008, 1.6391995291347852, 1.2, 6, ]
['VD Philander', 22.78, 21.15, 'Fast', 2011, 2020, 0.890613266583229, 0.8495671455393475, 0, ]
['HMRKB Herath', 13.45, 25.77, 'Spin', 1999, 2018, 0.9979441997063142, 0.890862558234543, 5, ]
['FS Trueman', 14.48, 22.61, 'Fast', 1952, 1965, 1, 1.1588150991712505, 0, ]
['J Garner', 12.52, 21.1, 'Fast', 1977, 1987, 1, 0.9305860139756331, 0, ]

